data_noise,forest_name,forest_seed,shuffle,std(mean),std(std)
0.4,forest_hyperparams_0,False,False,0.010830592452925005,0.012195268969687369
0.4,forest_hyperparams_0,False,True,0.013977542261914857,0.016020850860233898
0.4,forest_hyperparams_0,True,False,0.0,0.0
0.4,forest_hyperparams_0,True,True,0.012509176816752107,0.01466385461024386
0.4,forest_hyperparams_1,False,False,0.01093522615556926,0.00986054168429179
0.4,forest_hyperparams_1,False,True,0.018951386765590102,0.015065528062472074
0.4,forest_hyperparams_1,True,False,0.0,0.0
0.4,forest_hyperparams_1,True,True,0.02304603556970756,0.0178620844561012
0.4,forest_hyperparams_2,False,False,0.004232301880660161,0.005206787124940022
0.4,forest_hyperparams_2,False,True,0.007902955894120052,0.017418370737215395
0.4,forest_hyperparams_2,True,False,0.0,0.0
0.4,forest_hyperparams_2,True,True,0.007409793336398506,0.014893388166849209
0.4,forest_hyperparams_3,False,False,0.009462571311182208,0.008697587630642682
0.4,forest_hyperparams_3,False,True,0.00954304316077222,0.01434479381096144
0.4,forest_hyperparams_3,True,False,0.0,0.0
0.4,forest_hyperparams_3,True,True,0.010649621812335051,0.016048407026065033
0.5,forest_hyperparams_0,False,False,0.014419885751445663,0.012959122112327352
0.5,forest_hyperparams_0,False,True,0.0123291567703013,0.0166310308962209
0.5,forest_hyperparams_0,True,False,0.0,0.0
0.5,forest_hyperparams_0,True,True,0.016697986156866802,0.015626928277241697
0.5,forest_hyperparams_1,False,False,0.011354415174494993,0.010422381928721716
0.5,forest_hyperparams_1,False,True,0.02204971159092425,0.015219656668900062
0.5,forest_hyperparams_1,True,False,0.0,0.0
0.5,forest_hyperparams_1,True,True,0.01841540326775726,0.016079079360343536
0.5,forest_hyperparams_2,False,False,0.007361113002309384,0.006294703360280363
0.5,forest_hyperparams_2,False,True,0.01149918039820702,0.01740843337071399
0.5,forest_hyperparams_2,True,False,0.0,0.0
0.5,forest_hyperparams_2,True,True,0.011937644299124918,0.016515834846643592
0.5,forest_hyperparams_3,False,False,0.010727691060066278,0.009089716830010284
0.5,forest_hyperparams_3,False,True,0.013022688866387562,0.015151766967569596
0.5,forest_hyperparams_3,True,False,0.0,0.0
0.5,forest_hyperparams_3,True,True,0.011426325753539015,0.01542299102543004
0.6,forest_hyperparams_0,False,False,0.017365663061320816,0.013744592857778513
0.6,forest_hyperparams_0,False,True,0.018544397920592842,0.017859586937495994
0.6,forest_hyperparams_0,True,False,0.0,0.0
0.6,forest_hyperparams_0,True,True,0.01870033970506273,0.017298875311080587
0.6,forest_hyperparams_1,False,False,0.014084298008615128,0.010450805270100555
0.6,forest_hyperparams_1,False,True,0.019877906413650056,0.01528588462119155
0.6,forest_hyperparams_1,True,False,0.0,0.0
0.6,forest_hyperparams_1,True,True,0.02116708887696709,0.019676040336724782
0.6,forest_hyperparams_2,False,False,0.007269909938126788,0.008049895713985402
0.6,forest_hyperparams_2,False,True,0.014946176882060187,0.015085501833955278
0.6,forest_hyperparams_2,True,False,0.0,0.0
0.6,forest_hyperparams_2,True,True,0.01282297745199853,0.01881441993999647
0.6,forest_hyperparams_3,False,False,0.01217484692417602,0.011709544911473165
0.6,forest_hyperparams_3,False,True,0.014212363774819329,0.016140056159815574
0.6,forest_hyperparams_3,True,False,0.0,0.0
0.6,forest_hyperparams_3,True,True,0.013378406667901492,0.01684416216350089
